588,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:14:33,F25-29

589,05-13,AurythmedenosfouléesChâteauguay,DEMI-MARATHON,02:04:56,M30-39

594,09-23,MarathonOasisdeMontreal,MARATHON,03:15:20,M45-49

595,09-23,Marathon Oasis de Montreal,Marathon,03:38:15,M35-39

600,10-14,ClassiqueDuParcLaFontaine,10KM,00:47:28,M40-49
600,08-19,CoupeDix302012,10KM,00:46:26,M40-49
600,06-24,CoupeDix302012,10KM,00:53:38,M20-29

606,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:58:53,F35-39

609,09-23,MarathonOasisdeMontreal,MARATHON,04:17:17,M35-39
609,05-06,CourseduFortdeChambly,10KM,00:46:16,M30-39

610,09-23,MarathonOasisdeMontreal,MARATHON,04:00:04,M35-39
610,06-03,BreadandHoneyRaces,15KM,01:16:35,M35-39
610,05-27,OttawaRaceWeekend,MARATHON,03:57:42,M35-39
610,03-04,ChillyHalfMarathon&Frosty5km,HALFMARATHON,01:52:07,M35-39

613,09-23,MarathonOasisdeMontreal,MARATHON,04:56:41,M35-39
613,05-27,OttawaRaceWeekend,HALFMARATHON,02:02:40,M35-39

628,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:12:14,F20-29
628,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:54:37,F30-39

634,09-23,MarathonOasisdeMontreal,MARATHON,03:50:59,M35-39

635,09-23,MarathonOasisdeMontreal,MARATHON,04:23:27,M50-54
635,09-01,CanadianIron226TriathlonDuathlonandRelays,THECANADIANIRON113TRIATHLON,06:46:53,M50-54

636,09-23,Marathon Oasis de Montreal,Marathon,04:09:08,F30-34

637,09-23,Marathon Oasis de Montreal,Marathon,03:18:59,M45-49

638,10-07,DemimarathondescouleursdeBecancour,DEMIMARATHON,01:38:09,M40-49

642,09-23,MarathonOasisdeMontreal,MARATHON,03:53:09,M30-34
642,09-23,MarathonOasisdeMontreal,10KM,01:05:25,M18-24
642,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:49:16,M30-39
642,02-19,DéfiHivernalIleBizard,5KM,00:23:43,M30-39

649,09-09,Demi-MarathonGranby,DEMIMARATHON,01:53:49,M30-39
649,06-30,DemiMarathondeSherbrooke,10KM,00:52:24,M30-39
649,05-20,DesChenesToi,10KM,00:54:57,M18+
649,05-20,DesChenesToi,5KM,00:28:03,M18+

650,09-23,MarathonOasisdeMontreal,MARATHON,04:12:46,M25-29
650,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,01:51:29,M20-29

653,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:41:58,M30-39

654,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:36:01,M35-39
654,06-17,TourduLacBrome,10KMROUTE,00:46:00,M30-39

655,09-23,Marathon Oasis de Montreal,Marathon,03:54:46,M18-24

657,06-16,TourduLacBrome,9KMTRAIL,00:47:35,M30-39
657,04-29,BanqueScotia21kmet5km,"21,1KM",01:39:17,M30-34

659,11-04,OkaRoadRace,DEMI-MARATHON,01:26:56,M20-29
659,09-23,MarathonOasisdeMontreal,MARATHON,03:38:44,M25-29

661,03-25,AroundtheBayRoadRaces,30KM,02:34:04,M45-49

662,09-23,Marathon Oasis de Montreal,Marathon,04:00:23,M25-29

664,09-23,MarathonOasisdeMontreal,MARATHON,04:22:14,F30-34

665,09-23,MarathonOasisdeMontreal,MARATHON,04:32:49,M40-44
665,08-12,Demi-MarathonduMont-Tremblant,DEMI-MARATHON,02:10:16,M40-49

668,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:56:56,M18-24

669,09-23,MarathonOasisdeMontreal,MARATHON,02:54:10,M35-39

671,09-23,MarathonOasisdeMontreal,MARATHON,03:58:40,M25-29
671,06-02,Coursedesiles,21KM,01:42:56,M20-29
671,04-29,CoursePrintaniereOka,10KM,00:49:01,M20-29

673,09-23,MarathonOasisdeMontreal,MARATHON,03:53:43,M40-44
673,06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,01:39:56,M40-49

674,09-23,MarathonOasisdeMontreal,MARATHON,04:16:12,M40-44

676,07-08,Cyclo-Orford,100KM,-1,M39-

677,10-14,ClassiqueDuParcLaFontaine,10KM,00:40:06,M30-39
677,07-08,CoupeDix302012,10KM,00:43:39,M30-39
677,05-20,CoupeDix302012,10KM,00:41:44,M30-39
677,04-29,BanqueScotia21kmet5km,"21,1KM",01:27:20,M35-39
677,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:36:23,M30-39

687,10-14,ClassiqueDuParcLaFontaine,10KM,00:39:29,M20-29
687,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:30:19,M25-29
687,04-29,BanqueScotia21kmet5km,"21,1KM",01:26:58,M25-29

692,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:38:26,F18-24

699,10-14,ClassiqueDuParcLaFontaine,10KM,00:36:11,M20-29
699,09-23,MarathonOasisdeMontreal,MARATHON,02:54:51,M18-24
699,05-27,OttawaRaceWeekend,HALFMARATHON,01:20:41,M20-24
699,05-12,LeChallengeIRCM-Courirpourlavie,5KM,00:17:14,M20-29
699,04-29,BanqueScotia21kmet5km,"21,1KM",01:18:59,M20-24
699,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:36:20,M20-29

705,09-23,MarathonOasisdeMontreal,MARATHON,03:43:44,M25-29
705,05-26,OttawaRaceWeekend,10KM,00:42:52,M25-29

706,09-23,Marathon Oasis de Montreal,Marathon,03:29:00,M35-39

708,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,04:13:11,M40-44
708,09-23,MarathonOasisdeMontreal,MARATHON,03:57:55,M40-44
708,06-24,CoupeDix302012,10KM,00:46:37,M40-49
708,06-17,TourduLacBrome,20KMROUTE,01:39:51,M40-49
708,06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,01:42:24,M40-49

710,09-23,Marathon Oasis de Montreal,Marathon,03:51:23,F18-24

712,05-27,OttawaRaceWeekend,MARATHON,04:55:52,M35-39

721,09-23,MarathonOasisdeMontreal,MARATHON,03:54:57,M50-54
721,08-26,TriathlondeValleyfield,TRIATHLONOLYMPIQUE,02:33:46,M50-54
721,06-24,IronmanMont-Tremblant70.3,OVERALL70.3,05:19:44,M50-54
721,06-09,Triathlon/DuathlonMont-Tremblant,TRIATHLONOLYMPIQUE,02:48:27,M50-54

722,06-10,DemimarathondespompiersdeShawinigan,21KM,02:03:04,F30-39

724,09-23,MarathonOasisdeMontreal,MARATHON,04:30:07,M45-49
724,04-29,BanqueScotia21kmet5km,"21,1KM",02:03:23,M45-49

733,09-23,MarathonOasisdeMontreal,MARATHON,03:54:12,M18-24

736,09-23,MarathonOasisdeMontreal,MARATHON,03:26:10,M40-44

738,10-14,ClassiqueDuParcLaFontaine,5KM,00:22:04,M20-29

740,09-23,MarathonOasisdeMontreal,MARATHON,03:51:58,M35-39
740,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:47:24,M30-39

744,07-08,Cyclo-Orford,100KM,-1,M39-

745,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:41:10,M35-39

748,09-23,MarathonOasisdeMontreal,MARATHON,04:43:16,M35-39

751,09-30,MarathondeRimouski,"21,1KM",01:35:42,M40-49
751,08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,03:55:58,M40-49
751,06-03,DefidesEscaliers,13KM,-1,M40-49
751,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:39:32,M40-49

753,10-27,OttawaBeatBeethoven,HALFMARATHON,01:36:24,M40-44

758,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,01:53:55,F40-49

761,09-23,MarathonOasisdeMontreal,MARATHON,04:45:19,M35-39

767,08-19,AppleTriathlon,OLYMPIC,02:50:07,F25-29

770,09-23,MarathonOasisdeMontreal,MARATHON,04:33:28,M45-49
770,07-07,MikeCollingwoodMeechLakeTriathlon,TRIATHLON,01:44:53,M45-49
770,06-03,BeatBeethoven8KmRun,8KM,00:37:21,M40-49
770,05-19,OttawaEarlyBirdTriathlonandDuathlon,SPRINTTRIATHLON,01:20:24,M45-49

775,09-23,MarathonOasisdeMontreal,MARATHON,03:47:00,M25-29
775,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:44:42,M20-29
775,02-19,DéfiHivernalIleBizard,5KM,00:19:44,M20-29

776,09-23,MarathonOasisdeMontreal,MARATHON,04:08:43,F30-34

777,06-17,ManitobaMarathon,HALFMARATHON,01:53:14,F45-49

783,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:39:28,M30-34
783,09-08,TriathlonEspritdeMontreal,TRIATHLONOLYMPIQUE,02:26:59,M30-34

787,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:49:28,M35-39
787,06-02,Coursedesiles,21KM,01:44:44,M30-39

788,10-14,ScotiabankTorontoWaterfrontMarathon,HALFMARATHON,01:42:26,M20-24
788,04-29,BanqueScotia21kmet5km,"21,1KM",01:53:37,M20-24

790,04-29,BanqueScotia21kmet5km,"21,1KM",01:58:31,M50-54

794,10-14,ClassiqueDuParcLaFontaine,5KM,00:26:37,F30-39
794,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:59:31,F30-34
794,02-18,DemiMarathonHypothermique,DEMIMARATHON,02:18:12,F30-39

795,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:49:47,M30-34

797,10-20,Cross-CountrySaint-LaurentSelect,5KM,00:18:14,M30-39
797,09-23,MarathonOasisdeMontreal,MARATHON,02:47:34,M35-39
797,06-24,IronmanMont-Tremblant70.3,OVERALL70.3,04:46:43,M35-39
797,05-26,DefiPhysioExtradeTerrebonne,10KM,00:37:22,M30-39

798,09-23,MarathonOasisdeMontreal,MARATHON,04:38:15,M30-34
798,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:19:45,M30-39

805,10-14,DefiduTourduLacBeauport,18KM,01:37:34,F30-39
805,06-10,DemimarathondespompiersdeShawinigan,21KM,01:51:54,F30-39

806,09-23,MarathonOasisdeMontreal,MARATHON,05:53:40,F30-34

807,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:37:06,F30-39
807,05-06,DéficourseetmarcheDesjardinsSainteThérèse,10KM,01:02:32,F30-39

814,09-23,MarathonOasisdeMontreal,MARATHON,03:42:14,M25-29
814,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:36:02,M20-29

817,10-07,OttawaFallColoursMarathonEvents,5KM,00:36:07,M18-19

821,10-14,ClassiqueDuParcLaFontaine,10KM,00:55:52,F30-39
821,05-27,OttawaRaceWeekend,HALFMARATHON,02:27:42,F35-39
821,05-06,DéficourseetmarcheDesjardinsSainteThérèse,10KM,00:53:54,F30-39

823,09-23,Marathon Oasis de Montreal,Marathon,04:32:24,M50-54

825,09-23,MarathonOasisdeMontreal,10KM,00:41:22,M30-34

832,09-23,MarathonOasisdeMontreal,MARATHON,03:31:05,F35-39

841,09-23,MarathonOasisdeMontreal,MARATHON,04:20:53,M40-44

854,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:11:55,M30-34

857,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,03:02:45,M35-39

858,09-23,MarathonOasisdeMontreal,MARATHON,04:22:11,M35-39

861,09-23,MarathonOasisdeMontreal,MARATHON,03:23:41,M60-64
861,06-24,CoupeDix302012,5KM,00:20:31,M60-69
861,04-29,BanqueScotia21kmet5km,"21,1KM",01:32:20,M60-64

870,09-23,MarathonOasisdeMontreal,MARATHON,04:29:30,M18-24
870,06-17,TourduLacBrome,20KMROUTE,01:58:46,M-JUN
870,06-10,LaGrandeVireedesSentiersSt-Bruno,10KM,00:58:38,M-JUN
870,02-19,DéfiHivernalIleBizard,5KM,00:25:17,M16-17

873,05-06,CourseduFortdeChambly,10KM,00:45:38,F40-49

874,10-07,OttawaFallColoursMarathonEvents,MARATHON,03:07:53,F40-44
874,09-01,TheCanadianMarathonHalfMarathon8kmand3kmRuns,THECANADIANEVENINGHALF-MARATHON,01:34:17,F40-44

876,09-23,Marathon Oasis de Montreal,Marathon,03:41:39,F40-44

882,09-23,MarathonOasisdeMontreal,MARATHON,04:34:41,M35-39

883,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:14:14,F35-39

885,09-23,MarathonOasisdeMontreal,MARATHON,04:10:14,M35-39

886,09-23,MarathonOasisdeMontreal,MARATHON,03:35:52,M25-29

894,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:42:52,M50-54

896,09-23,MarathonOasisdeMontreal,MARATHON,04:05:25,M30-34

903,09-23,MarathonOasisdeMontreal,MARATHON,03:44:53,M30-34

908,08-19,CoupeDix302012,10KM,00:47:32,M40-49
908,07-22,CoupeDix302012,5KM,00:23:19,M40-49

909,09-23,Marathon Oasis de Montreal,Marathon,03:37:12,M40-44

918,06-24,IronmanMont-Tremblant70.3,OVERALL70.3,06:12:34,M45-49
918,05-27,OttawaRaceWeekend,MARATHON,03:40:28,M45-49

920,10-07,DemimarathondescouleursdeBecancour,10KM,00:59:11,F30-39
920,09-23,MarathonOasisdeMontreal,MARATHON,03:54:51,F30-34

924,09-23,MarathonOasisdeMontreal,MARATHON,03:32:56,M50-54

926,09-23,MarathonOasisdeMontreal,10KM,00:53:28,M45-49
926,07-22,TriathlonTrimemphredeMagog,TRIATHLONOLYMPIQUE,03:17:57,M45-49
926,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:57:58,M40-49

927,09-23,MarathonOasisdeMontreal,MARATHON,04:04:47,F25-29
927,06-03,DefidesEscaliers,SPRINTEURS,00:22:52,F20-29
927,06-03,DefidesEscaliers,19KM,-1,F20-29
927,06-03,DefidesEscaliers,GRIMPEURS,00:04:33,F20-29
927,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,02:00:05,F20-29

928,10-14,ScotiabankTorontoWaterfrontMarathon,HALFMARATHON,01:32:11,M40-44
928,09-23,MarathonOasisdeMontreal,MARATHON,03:27:09,M40-44

932,09-23,MarathonOasisdeMontreal,MARATHON,03:44:32,M18-24

933,09-23,MarathonOasisdeMontreal,MARATHON,03:40:51,M40-44
933,09-08,TriathlonEspritdeMontreal,TRIATHLONDEMI-ESPRIT,04:59:23,M40-44
933,08-26,TriathlondeValleyfield,TRIATHLONOLYMPIQUE,02:31:56,M40-44
933,07-22,TriathlonTrimemphredeMagog,TRIATHLONOLYMPIQUE,02:38:11,M40-44
933,06-24,IronmanMont-Tremblant70.3,OVERALL70.3,05:36:36,M40-44
933,05-27,OttawaRaceWeekend,HALFMARATHON,01:33:18,M35-39

936,09-23,MarathonOasisdeMontreal,MARATHON,04:11:00,M40-44
936,05-06,"GoodlifeTorontoMarathon,HalfMarathon,and5k",MARATHON,03:51:19,M40-44
936,03-25,AroundtheBayRoadRaces,30KM,02:39:42,M40-44

941,09-23,MarathonOasisdeMontreal,MARATHON,03:32:28,M40-44

950,09-30,SurreyInternationalMusicMarathon,HALFMARATHON,02:01:41,F40-44
950,06-24,ScotiabankVancouverHalfMarathon&5k,HALFMARATHON,02:00:01,F40-44

952,09-23,Marathon Oasis de Montreal,Marathon,03:26:53,M45-49

957,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:27:33,F40-49
957,07-15,DefidesDamesdeCoeur,10KM,01:00:31,F40-49
957,06-23,LeDefiBeauceron,7KMMARCHE,00:50:19,F40-49
957,06-17,DescenteRoyale,10KM,01:07:09,F40-49
957,06-03,DefidesEscaliers,19KM,-1,F40-49
957,06-03,DefidesEscaliers,GRIMPEURS,00:05:16,F40-49
957,06-03,DefidesEscaliers,SPRINTEURS,00:25:19,F40-49
957,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,02:14:03,F40-49

966,09-23,MarathonOasisdeMontreal,MARATHON,03:55:38,M45-49
966,06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,01:39:55,M40-49
966,05-27,OttawaRaceWeekend,MARATHON,03:48:10,M45-49

967,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:06:21,M40-44

973,07-07,TriathlondeGatineau,TRIATHLONSPRINT,01:21:59,F20-24

977,09-23,MarathonOasisdeMontreal,MARATHON,04:16:33,M50-54
977,06-17,TourduLacBrome,CHALLENGEMARATHON,04:31:00,M50-59
977,06-17,TourduLacBrome,20KMROUTE,02:02:00,M50-59
977,06-16,TourduLacBrome,"22,2KMCHEMINDECAMPAGNE",02:29:00,M50-59

982,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:55:21,M55-59

988,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:42:30,M15-17

989,09-23,MarathonOasisdeMontreal,MARATHON,04:08:23,F35-39
989,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:49:19,F30-39

991,10-21,NiagaraFallsInternationalMarathon,MARATHON,03:02:45,M45-49
991,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,03:05:56,M45-49
991,09-23,MarathonOasisdeMontreal,MARATHON,03:06:54,M45-49
991,07-22,SubaruMuskokaTriathlonandDuathlon,5150TRIATHLON,02:32:57,M45-49
991,06-17,SubaruGuelphLakeITriathlon&Duathlon,OLYMPICTRIATHLON,02:36:36,M45-49

992,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:41:57,M18-24

993,09-23,Marathon Oasis de Montreal,Marathon,03:26:50,M30-34

1004,10-14,ClassiqueDuParcLaFontaine,10KM,00:35:37,M20-29
1004,10-07,LeCrossDesCouleurs,8KM,00:32:11,M20-29
1004,09-15,DuathlonSt-Sauveur,DUATHLON,01:12:32,M20-24

1007,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:03:59,F50-59

1009,09-23,MarathonOasisdeMontreal,MARATHON,05:28:16,M25-29
1009,06-17,TourduLacBrome,20KMROUTE,02:09:49,M20-29
1009,04-29,BanqueScotia21kmet5km,"21,1KM",01:41:45,M25-29
1009,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:53:02,M20-29
1009,02-19,DéfiHivernalIleBizard,5KM,00:24:34,M20-29

1011,11-04,OkaRoadRace,DEMI-MARATHON,01:54:40,M30-39

1013,09-23,MarathonOasisdeMontreal,MARATHON,03:32:52,M25-29
1013,09-08,TriathlonEspritdeMontreal,TRIATHLONDEMI-ESPRIT,05:11:09,M25-29

1014,09-23,MarathonOasisdeMontreal,MARATHON,04:40:39,F40-44

1017,09-23,MarathonOasisdeMontreal,MARATHON,05:14:29,M40-44

1020,09-23,MarathonOasisdeMontreal,10KM,00:41:40,M30-34
1020,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,01:41:38,M30-39

1022,09-23,Marathon Oasis de Montreal,Marathon,03:24:10,M40-44

1024,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:50:09,M45-49

1027,05-06,"GoodlifeTorontoMarathon,HalfMarathon,and5k",MARATHON,04:10:32,M50-54

1028,09-23,MarathonOasisdeMontreal,MARATHON,04:11:41,M30-34

1031,09-23,Marathon Oasis de Montreal,Marathon,04:20:56,F55-59

1045,09-23,MarathonOasisdeMontreal,MARATHON,04:08:24,M30-34

1047,09-23,Marathon Oasis de Montreal,Marathon,03:02:49,M30-34

1048,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:13:55,M25-29
1048,09-23,MarathonOasisdeMontreal,MARATHON,-1,M30-34
1048,06-24,IronmanMont-Tremblant70.3,OVERALL70.3,04:35:25,M30-34

1050,09-23,MarathonOasisdeMontreal,MARATHON,04:33:17,M25-29
1050,06-24,CoupeDix302012,10KM,00:45:25,M20-29

1053,09-23,MarathonOasisdeMontreal,MARATHON,03:07:59,M45-49
1053,05-06,CourseduFortdeChambly,10KM,00:39:22,M40-49
1053,04-29,BanqueScotia21kmet5km,"21,1KM",01:25:36,M45-49

1058,09-23,Marathon Oasis de Montreal,Marathon,03:33:39,M30-34

1062,09-23,Marathon Oasis de Montreal,5 km Sports Experts,00:35:43,M55-59

1066,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:19:42,M18-24

1075,09-23,MarathonOasisdeMontreal,MARATHON,04:44:24,F18-24

1077,09-23,MarathonOasisdeMontreal,MARATHON,04:51:31,M35-39

1079,09-23,MarathonOasisdeMontreal,MARATHON,03:26:47,M30-34
1079,04-29,BanqueScotia21kmet5km,"21,1KM",01:41:37,M30-34

1080,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,05:00:22,M25-29
1080,10-07,OttawaFallColoursMarathonEvents,10KM,00:39:43,M25-29
1080,09-23,MarathonOasisdeMontreal,MARATHON,03:04:02,M25-29
1080,06-24,IronmanMont-Tremblant70.3,OVERALL70.3,05:12:32,M25-29
1080,05-27,OttawaRaceWeekend,HALFMARATHON,01:28:11,M25-29
1080,05-26,OttawaRaceWeekend,5KM,00:18:57,M25-29
1080,05-19,OttawaEarlyBirdTriathlonandDuathlon,LONGTRIATHLON,01:40:53,M25-29
1080,04-22,OttawaPhysioRace,10KM,00:38:57,M20-29

1099,08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,05:15:33,M50-59
1099,05-26,DemiMarathonGenerations,DEMIMARATHON,02:06:50,M50-59

1106,05-27,OttawaRaceWeekend,MARATHON,03:51:06,M55-59
1106,04-29,BanqueScotia21kmet5km,"21,1KM",01:46:00,M55-59
1106,04-22,CourseSaint-Laurent,10KM,00:48:02,M50-59

1112,09-23,MarathonOasisdeMontreal,MARATHON,03:28:49,F35-39
1112,03-25,CourseetmarchepopulairesdeLaSalle,5KM,00:17:52,M40-49
1112,02-19,DéfiHivernalIleBizard,5KM,00:18:13,M40-49

1115,09-23,Marathon Oasis de Montreal,Marathon,03:39:12,M30-34

1116,09-23,MarathonOasisdeMontreal,MARATHON,02:58:09,M30-34
1116,05-20,DesChenesToi,10KM,00:37:47,M18+

1120,10-14,ClassiqueDuParcLaFontaine,10KM,00:49:52,M60-69
1120,09-23,MarathonOasisdeMontreal,5KMSPORTSEXPERTS,00:23:54,M65-69
1120,08-15,Le5kmEndurance,5KM,00:24:08,M60-69
1120,06-16,TourduLacBrome,9KMTRAIL,01:05:47,M60-69
1120,03-25,CourseetmarchepopulairesdeLaSalle,5KM,00:24:30,M60-69

1123,09-23,Marathon Oasis de Montreal,Marathon,04:13:39,F50-54

1125,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:03:52,F40-49

1131,09-23,MarathonOasisdeMontreal,MARATHON,05:09:24,M50-54

1132,08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,03:41:05,M50-59

1133,09-23,MarathonOasisdeMontreal,MARATHON,04:08:32,M18-24

1136,05-27,OttawaRaceWeekend,MARATHON,04:44:11,F50-54

1137,09-23,Marathon Oasis de Montreal,Marathon,03:35:38,M30-34

1139,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:35:48,M25-29

1145,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:34:30,M45-49
1145,04-29,BanqueScotia21kmet5km,"21,1KM",01:36:39,M45-49

1147,10-14,ClassiqueDuParcLaFontaine,5KM,00:18:31,M18-19

1152,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:48:46,M30-34

1155,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:59:25,M40-44
1155,09-16,LaGrandeVadrouille,10KM,00:52:56,M40-49
1155,02-19,DéfiHivernalIleBizard,5KM,00:26:41,M40-49

1157,09-23,MarathonOasisdeMontreal,MARATHON,04:18:12,M40-44
1157,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:10:53,M40-49

1159,09-23,MarathonOasisdeMontreal,MARATHON,04:10:15,M40-44
1159,06-17,TourduLacBrome,20KMROUTE,01:50:40,M40-49
1159,05-26,OttawaRaceWeekend,5KM,00:29:02,M40-44
1159,05-20,DesChenesToi,10KM,00:51:30,M18+
1159,05-13,DefiGerardCotedeSt-Hyacinthe,15KM,01:28:08,M40-49
1159,04-29,BanqueScotia21kmet5km,"21,1KM",01:50:28,M40-44

1162,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,04:08:12,F40-44
1162,08-18,AMidSummerNightsRun,30KMRACE,02:50:32,F40-49
1162,05-27,OttawaRaceWeekend,MARATHON,04:00:33,F40-44
1162,04-07,Harry'sSpringRunOff,5KM,00:23:27,F40-44

1167,08-19,IronmanMont-Tremblant,OVERALL,11:53:38,M30-34
1167,07-22,TriathlonTrimemphredeMagog,TRIATHLONLONGUEDISTANCE,05:02:15,M30-34
1167,06-09,Triathlon/DuathlonMont-Tremblant,TRIATHLONOLYMPIQUE,02:35:23,M30-34
1167,05-06,CourseduFortdeChambly,10KM,00:40:52,M30-39
1167,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:41:34,M30-39

1169,10-14,ClassiqueDuParcLaFontaine,10KM,00:40:40,M30-39
1169,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:33:33,M35-39
1169,06-03,DefidesEscaliers,19KM,-1,M30-39
1169,06-03,DefidesEscaliers,GRIMPEURS,00:03:11,M30-39
1169,06-03,DefidesEscaliers,SPRINTEURS,00:17:40,M30-39
1169,03-25,CourseetmarchepopulairesdeLaSalle,5KM,00:21:06,M30-39

1179,09-30,Ironman70.3PoconoMountains,OVERALLRESULTS,05:30:39,M35-39
1179,09-23,MarathonOasisdeMontreal,MARATHON,03:58:38,M30-34
1179,08-11,IronmanU.S.Championships,OVERALLRESULTS,12:15:45,M35-39

1186,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,04:26:35,M35-39
1186,05-27,OttawaRaceWeekend,MARATHON,04:26:30,M35-39

1189,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:06:36,F40-44

1190,09-23,MarathonOasisdeMontreal,MARATHON,03:42:26,M25-29
1190,05-13,SportingLife10K,10KM,00:46:31,M25-29

1194,09-23,ArmyRun/CoursedelArmee,HALFMARATHON,02:06:06,F19-

1203,09-23,ArmyRun/CoursedelArmee,5K,00:23:57,M40-49

1208,11-04,OkaRoadRace,DEMI-MARATHON,01:50:12,M30-39
1208,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:44:56,M35-39
1208,03-25,CourseetmarchepopulairesdeLaSalle,5KM,00:23:35,M30-39

1213,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:56:08,M30-34
1213,05-27,OttawaRaceWeekend,HALFMARATHON,02:29:46,M30-34

1218,05-27,OttawaRaceWeekend,HALFMARATHON,02:06:18,F30-34

1219,09-23,MarathonOasisdeMontreal,MARATHON,04:19:36,M30-34

1221,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:38:27,M18-24

1222,09-23,MarathonOasisdeMontreal,10KM,00:56:08,M35-39

1224,10-14,ClassiqueDuParcLaFontaine,10KM,00:39:36,M30-39
1224,09-23,MarathonOasisdeMontreal,MARATHON,03:30:36,M30-34
1224,09-09,Demi-MarathonGranby,DEMIMARATHON,01:35:42,M30-39
1224,08-05,DéfiBoréalSainte-Anne-de-Bellevue,10KM,00:41:53,M30-39
1224,04-29,BanqueScotia21kmet5km,"21,1KM",01:35:03,M30-34

1228,09-23,Marathon Oasis de Montreal,Marathon,04:11:13,F25-29

1233,10-14,DefiduTourduLacBeauport,6KM,00:38:20,F20-29

1236,09-23,MarathonOasisdeMontreal,MARATHON,03:52:17,F30-34

1238,10-14,DefiduTourduLacBeauport,6KM,00:32:23,M30-39

